Nodes,PDR,Throughput,Delay
20,95.44,10.8322,0.848826
40,98.03,22.5296,0.393148
60,87.74,30.1035,0.716044
80,74.85,33.1129,0.844537
100,65.49,33.6337,0.484256
120,60.53,36.0036,1.242877
140,56.45,37.3608,1.138451
160,53.23,38.5714,1.252987
180,49.57,38.0636,0.825982
200,48.46,39.7232,1.519712
