#Nodes PDR Throughput Delay
20 88.3824 7.1206 0.0108
40 64.7684 10.1123 0.0158
60 56.4993 14.2746 0.0197
80 95.6734 30.1427 0.0225
100 96.3852 37.5859 0.0127
120 93.1034 44.1814 0.0313
140 93.2289 52.2054 0.0206
160 80.9665 51.8515 0.0453
180 84.1550 60.5258 0.0424
200 88.3029 71.0650 0.0554
